54932,20,0,1,7,1,1,2,0,0,0
54812,20,8,11,20,20,14,8,4,3,4
53494,20,20,20,20,20,20,20,20,20,20
55120,20,0,2,1,0,0,1,0,0,1
54594,20,0,12,20,4,20,5,3,1,14
53798,20,20,20,20,20,20,20,20,20,20
55186,20,5,20,20,11,5,4,5,9,6
52824,20,0,9,20,4,1,0,2,1,5
54458,20,4,16,20,11,20,15,3,2,3
52834,20,0,5,8,4,3,1,0,0,1
53174,20,20,20,20,20,20,20,20,20,20
53960,20,20,20,20,20,20,20,20,20,20
52982,20,20,20,20,20,20,20,19,20,20
54474,20,0,3,7,1,0,4,0,0,6
54856,20,2,20,20,20,20,20,8,11,13
52936,20,20,20,20,20,20,20,20,20,20
52916,20,1,5,20,11,15,15,9,1,0
54238,20,10,20,20,20,20,20,20,20,20
54130,20,20,20,20,20,20,20,20,20,20
62584,20,0,20,20,15,20,2,4,5,2
54224,20,2,11,20,0,0,1,1,3,2
55286,20,4,16,20,18,9,11,3,12,11
53902,20,0,20,20,4,8,6,4,8,10
54808,20,0,7,7,9,10,8,2,1,0
52880,20,20,20,20,20,20,20,20,20,20
53000,20,8,20,20,20,20,13,4,20,11
55032,20,0,1,0,0,0,1,0,0,0
54078,20,0,20,20,19,20,9,6,7,20
54804,20,5,7,20,1,0,20,1,7,20
54172,0,0,0,0,0,0,0,0,0,0
53518,20,20,20,20,20,20,20,20,20,20
53032,20,0,0,0,0,0,2,0,0,0
54676,20,20,20,20,20,20,20,20,20,20
55026,20,0,20,20,10,20,8,10,5,4
65320,20,3,3,20,7,4,7,0,7,1
53464,20,20,20,20,20,20,20,20,20,20
55406,20,20,20,20,20,20,20,20,20,20
54574,20,20,20,20,20,20,20,20,20,20
52812,20,20,20,20,20,20,3,0,10,20
52658,20,0,20,20,20,20,20,9,6,14
55294,20,0,1,16,1,4,1,1,1,1
52920,20,0,0,3,0,0,1,0,0,0
53298,17,0,0,0,0,0,0,0,0,0
55226,20,0,12,18,17,14,7,1,6,2
52794,20,0,19,20,12,12,2,4,5,9
52654,20,0,5,13,1,0,5,0,1,4
52924,20,20,20,20,20,20,20,20,20,20
52708,20,1,20,20,8,1,2,2,4,9
54680,20,4,20,20,5,18,7,5,1,7
