hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10162,32.25187302,77.1838913,Manali,3,No,0.775261438,0.779094705,1.095179945,0.516264128,0.883075195,0.830641216,1.542931388,0,0,0.884899086,0.334687786,
10163,11.67372894,78.1361618,Salem,2,Yes,2.415694945,1.352086199,0.357917212,0.634070001,0.284114635,0.386867779,1.408787134,1.200573847,4.752952613,0.527007118,1.126794105,
10164,10.23506832,77.49043274,Kodaikanal,3,No,0.412049549,1.103817215,0.703924993,0.118878297,0.404190334,0.511411075,0.872942499,0.88887416,0,1.084027401,0.264674386,
10165,30.34871864,78.06208038,Dehradun,3,Yes,3.356593835,2.387059774,3.247340156,1.301101618,0.783758531,1.134483855,1.626616011,2.061463025,6.583280371,2.456403629,1.989162378,
10167,31.64360046,74.90918732,Amritsar,2,Yes,1.663513104,2.578150059,1.844556505,2.371930857,0.947272108,1.097568464,2.236932417,2.566001194,3.333498479,2.150274754,3.096298844,
10169,26.21126175,78.18788147,Gwalior,3,Yes,1.634512602,2.429767074,0.925986274,0.502802311,0.59421081,0.453008802,0.764205782,1.845320383,2.348271058,0.862942135,0.832251828,
10171,9.978683472,76.27674866,Cochin,2,Yes,1.698424123,0.753826493,1.609370099,1.776511317,0.678845206,0.144628347,0.988857594,0.52444279,1.516568009,1.783766435,1.05826073,
10172,32.18053818,76.28262329,Dharamshala,3,No,6.048822987,4.727309173,3.762840415,3.275166113,0,0,2.89808956,5.018248682,9.233594415,6.228579807,8.452411504,
10176,29.3948288,79.12649536,Corbett,3,No,0.229300376,0,0.284718081,0.070534823,0.295694107,0.498495223,0.140725529,0,6.262622286,0.158588652,0.945064723,
10177,8.489332199,76.95535278,Thiruvananthapuram,2,Yes,1.252047285,0.300682495,1.374393955,0.643912235,0.833561337,0.715686684,1.026345715,0.32822673,2.633430767,0.827836903,0.978218501,
10178,9.967006683,76.28735352,Cochin,2,Yes,2.445675763,0.791125638,0.486003877,0.804884937,0.304490264,0.780337824,0.676321607,1.129829356,0.446189686,1.225749431,0.986476351,
10184,11.57226372,76.64273071,Masinagudi,3,No,18.34076304,0,0,1.922180524,0,0.605359944,0,0,0,0,0,
10185,11.86908913,75.36935425,Cannore,3,No,4.506541941,1.975278055,0.989348801,0.244939088,0.2551804,0.349701839,0.472858507,1.067909299,1.124384295,0.715564648,0.879929068,
10186,19.76696396,74.47949982,Shirdi,3,No,0.216255186,2.047393828,0.500371197,0.047271212,0.452905317,0.391275796,0.515806203,0,1.539079579,0.686025218,5.632708391,
10189,9.994053841,76.2905426,Cochin,2,Yes,3.356125194,1.805053896,0.756363652,1.718417545,0.722484111,0.715084397,0.878211744,1.699491929,1.259895278,1.193039946,1.074510414,
10190,19.99481583,73.76314545,Nashik,2,No,2.229608751,0.595164151,1.401913615,1.329262696,0.81522443,0.725331312,1.534478411,1.363807665,6.754835838,1.175600895,1.804128041,
10191,21.2011013,72.84003448,Surat,2,Yes,1.805934912,3.391967361,2.019394833,1.564093687,0.54582576,0.902626183,0.302404961,0.785598685,1.707012487,1.987552498,1.156896391,
10197,15.92326546,75.67844391,Badami,3,No,0.556133519,0,0.332750966,0.815333871,0.460523155,0,0.000615079,0.464971218,7.793710447,0,0,
10199,14.81220818,74.13104248,Karwar,3,No,0.848722978,3.091751089,0.214489777,0.298957649,0.171072307,0.373886749,0.532413867,0.906540477,6.472838891,0.164479908,8.795261131,
10200,10.23816681,77.48918152,Kodaikanal,3,No,0.728426695,1.038961345,0.831364039,0.240731345,0.567155727,0.59727719,0.942717687,0.68248809,0,0.715790358,0.13988415,
10201,10.23819256,77.48920441,Kodaikanal,3,No,0.728589359,1.035570703,0.829985546,0.241612255,0.565965873,0.597146933,0.941891341,0.678707458,0,0.713802656,0.143205002,
10203,12.93604469,77.62161255,Bangalore,1,Yes,4.229525628,0.734378729,2.248670103,1.256429561,0.490502919,0.648148637,1.248107877,1.783346364,4.117042945,0.904594276,2.987638936,
10204,9.968946457,76.28624725,Cochin,2,Yes,2.359894486,0.703840089,0.576802897,0.847820715,0.432184428,0.751559015,0.724336439,0.98750509,0.44025023,1.222969744,0.838581727,
10205,32.74646378,74.87280273,Jammu,3,Yes,1.10579403,0,0,0,0,0,0,0,0,0,0,
10206,11.40388393,76.67847443,Udagamandalam,3,No,1.779886231,3.138067434,2.521781996,2.248346737,0,1.491698132,2.007074107,2.734154073,5.004176258,3.39634414,5.629301127,
10207,21.20569229,72.83861542,Surat,2,Yes,1.825417719,4.27201314,1.91398537,1.749494437,0.429361303,1.157275963,0.270867204,1.107117534,1.797530089,1.866109136,1.08330842,
10209,9.920519829,78.11231995,Madurai,2,No,0.969665033,0.693093128,1.159516249,0.252125648,0.397565117,0.315903572,0.840077608,0.412075837,1.835181635,0.947523438,0.622015551,
10210,9.284602165,79.29298401,Rameswaram,3,No,1.723140748,0,2.082063239,1.604338446,0,1.565330359,0.882804495,1.965363078,5.0968523,0,2.246772425,
